Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 18, TIDL_ConvolutionLayer, 64, 80, 80, 64, 80, 80, 64, ROW_L, 0, 0, 3392, 6480, 2, 1, 2,,,,,,,,, L2, DMA, 6848, 6848, 64, 438272, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430162, 82, 690ae, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 6b000, ,,,,,,,, 
 19, TIDL_ConvolutionLayer, 64, 80, 80, 64, 80, 80, 64, ROW_L, 164, 192, 3072, 6643, 3, 1, 3,,,,,,,,, L2, DMA, 6336, 6336, 64, 408576, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430162, 82, 690ae, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 63c00, ,,,,,,,, 
 20, TIDL_EltWiseLayer, 128, 80, 80, 64, 80, 80, 128,  COL, 0, 0, 6480, 6480, 4, 0, 4,,,,,,,,, L2, DMA, 6723, 6723, 32, 430336, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430162, 82, 2e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 21, TIDL_ConvolutionLayer, 64, 80, 80, 64, 80, 80, 64, ROW_L, 0, 0, 3392, 6480, 2, 1, 2,,,,,,,,, L2, DMA, 6848, 6848, 64, 438272, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430162, 82, 690ae, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 6b000, ,,,,,,,, 
 22, TIDL_ConvolutionLayer, 64, 80, 80, 64, 80, 80, 64, ROW_L, 164, 192, 3072, 6643, 3, 1, 3,,,,,,,,, L2, DMA, 6336, 6336, 64, 408576, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430162, 82, 690ae, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 63c00, ,,,,,,,, 
 23, TIDL_EltWiseLayer, 128, 80, 80, 64, 80, 80, 128,  COL, 0, 0, 6480, 6480, 4, 0, 4,,,,,,,,, L2, DMA, 6723, 6723, 32, 430336, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430162, 82, 2e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 14, TIDL_ConvolutionLayer, 128, 80, 80, 64, 80, 80, 128, ROW_L, 0, 0, 1664, 6480, 4, 1, 4,,,,,,,,, L2, DMA, 3392, 3392, 128, 437504, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430162, 82, 690ae, ,,,,,,,, L2, DMA, 192, 129, 64, 12288, 0, 6ad00, ,,,,,,,, 
 24, TIDL_ConcatLayer, 128, 80, 80, 128, 80, 80, 128,  COL, 0, 0, 6480, 6480, 4, 0, 4,,,,,,,,, L2, DMA, 6723, 6723, 64, 430336, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860242, 82, d212e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 25, TIDL_ConvolutionLayer, 128, 80, 80, 128, 80, 80, 128, ROW_L, 0, 0, 1600, 6480, 5, 1, 5,,,,,,,,, L2, DMA, 3264, 3264, 128, 422528, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860242, 82, 2e, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 67280, ,,,,,,,, 
 26, TIDL_ConvolutionLayer, 128, 80, 80, 256, 40, 40, 128, ROW_L, 82, 82, 486, 6562, 14, 1, 14,,,,,,,,, L2, DMA, 1088, 1088, 128, 145152, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 256, 442410, 42, d20d6, ,,,,,,,, L2, DMA, 1216, 1153, 256, 311296, 0, 23700, ,,,,,,,, 
 27, TIDL_ConvolutionLayer, 256, 40, 40, 128, 40, 40, 256, ROW_L, 0, 0, 768, 1640, 3, 1, 3,,,,,,,,, L2, DMA, 1600, 1600, 256, 410368, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, 13e156, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 64300, ,,,,,,,, 
 29, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 0, 0, 1640, 1640, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 128, 221184, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, 1741d6, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 36000, ,,,,,,,, 
 30, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 84, 128, 1024, 1723, 2, 1, 2,,,,,,,,, L2, DMA, 2240, 2240, 128, 286720, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, 1741d6, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 46000, ,,,,,,,, 
 31, TIDL_EltWiseLayer, 256, 40, 40, 128, 40, 40, 256,  COL, 0, 0, 1640, 1640, 2, 0, 2,,,,,,,,, L2, DMA, 1763, 1763, 128, 451328, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, 13e156, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 32, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 0, 0, 1640, 1640, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 128, 221184, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, 1741d6, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 36000, ,,,,,,,, 
