Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 60, TIDL_ConvolutionLayer, 512, 40, 40, 128, 40, 40, 512, ROW_L, 0, 0, 320, 1640, 6, 1, 6,,,,,,,,, L2, DMA, 704, 704, 512, 361728, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, 12c1d6, ,,,,,,,, L2, DMA, 576, 513, 128, 73728, 0, 58500, ,,,,,,,, 
 63, TIDL_ConcatLayer, 256, 40, 40, 256, 40, 40, 256,  COL, 0, 0, 1640, 1640, 2, 0, 2,,,,,,,,, L2, DMA, 1763, 1763, 256, 451328, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 256, 442410, 42, 162256, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 64, TIDL_ConvolutionLayer, 256, 40, 40, 256, 40, 40, 256, ROW_L, 0, 0, 640, 1640, 3, 1, 3,,,,,,,,, L2, DMA, 1344, 1344, 256, 344704, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 256, 442410, 42, f6156, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 54280, ,,,,,,,, 
 65, TIDL_ConvolutionLayer, 256, 40, 40, 128, 40, 40, 256, ROW_L, 0, 0, 768, 1640, 3, 1, 3,,,,,,,,, L2, DMA, 1600, 1600, 256, 410368, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, f6156, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 64300, ,,,,,,,, 
 66, TIDL_ResizeLayer, 128, 40, 40, 128, 80, 80, 128,  COL, 0, 0, 1723, 1723, 1, 0, 1,,,,,,,,, L2, DMA, 1763, 1763, 128, 225664, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860242, 82, 12c1ae, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 67, TIDL_ConcatLayer, 256, 80, 80, 256, 80, 80, 256,  COL, 0, 0, 6480, 6480, 8, 0, 8,,,,,,,,, L2, DMA, 6723, 6723, 64, 430336, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 256, 1720402, 82, 12c1ae, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 68, TIDL_ConvolutionLayer, 256, 80, 80, 64, 80, 80, 256, ROW_L, 0, 0, 768, 6480, 9, 1, 9,,,,,,,,, L2, DMA, 1600, 1600, 256, 414976, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430162, 82, 2e, ,,,,,,,, L2, DMA, 320, 257, 64, 20480, 0, 65500, ,,,,,,,, 
 70, TIDL_ConvolutionLayer, 64, 80, 80, 64, 80, 80, 64, ROW_L, 0, 0, 3392, 6480, 2, 1, 2,,,,,,,,, L2, DMA, 6848, 6848, 64, 438272, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430162, 82, 2e, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 6b000, ,,,,,,,, 
 71, TIDL_ConvolutionLayer, 64, 80, 80, 64, 80, 80, 64, ROW_L, 164, 192, 3072, 6643, 3, 1, 3,,,,,,,,, L2, DMA, 6336, 6336, 64, 408576, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430162, 82, 2e, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 63c00, ,,,,,,,, 
 69, TIDL_ConvolutionLayer, 256, 80, 80, 64, 80, 80, 256, ROW_L, 0, 0, 768, 6480, 9, 1, 9,,,,,,,,, L2, DMA, 1600, 1600, 256, 414976, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430162, 82, 12c1ae, ,,,,,,,, L2, DMA, 320, 257, 64, 20480, 0, 65500, ,,,,,,,, 
 72, TIDL_ConcatLayer, 128, 80, 80, 128, 80, 80, 128,  COL, 0, 0, 6480, 6480, 4, 0, 4,,,,,,,,, L2, DMA, 6723, 6723, 64, 430336, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860242, 82, 2e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 73, TIDL_ConvolutionLayer, 128, 80, 80, 128, 80, 80, 128, ROW_L, 0, 0, 1600, 6480, 5, 1, 5,,,,,,,,, L2, DMA, 3264, 3264, 128, 422528, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860242, 82, 2e, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 67280, ,,,,,,,, 
 74, TIDL_ConvolutionLayer, 128, 80, 80, 128, 40, 40, 128, ROW_L, 82, 82, 972, 6562, 7, 1, 7,,,,,,,,, L2, DMA, 2112, 2112, 128, 275200, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1601, 128, 221184, 0, 12c180, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 43300, ,,,,,,,, 
 76, TIDL_ConcatLayer, 256, 40, 40, 256, 40, 40, 256,  COL, 0, 0, 1640, 1640, 2, 0, 2,,,,,,,,, L2, DMA, 1763, 1763, 256, 451328, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 256, 442410, 42, 1621d6, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 79, TIDL_ConvolutionLayer, 256, 40, 40, 128, 40, 40, 256, ROW_L, 0, 0, 768, 1640, 3, 1, 3,,,,,,,,, L2, DMA, 1600, 1600, 256, 410368, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, f6156, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 64300, ,,,,,,,, 
 83, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 0, 0, 1640, 1640, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 128, 221184, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, f6156, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 36000, ,,,,,,,, 
 87, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 84, 128, 1024, 1723, 2, 1, 2,,,,,,,,, L2, DMA, 2240, 2240, 128, 286720, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, f6156, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 46000, ,,,,,,,, 
 80, TIDL_ConvolutionLayer, 256, 40, 40, 128, 40, 40, 256, ROW_L, 0, 0, 768, 1640, 3, 1, 3,,,,,,,,, L2, DMA, 1600, 1600, 256, 410368, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, 12c1d6, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 64300, ,,,,,,,, 
 89, TIDL_ConcatLayer, 256, 40, 40, 256, 40, 40, 256,  COL, 0, 0, 1640, 1640, 2, 0, 2,,,,,,,,, L2, DMA, 1763, 1763, 256, 451328, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 256, 442410, 42, 162256, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 90, TIDL_ConvolutionLayer, 256, 40, 40, 256, 40, 40, 256, ROW_L, 0, 0, 640, 1640, 3, 1, 3,,,,,,,,, L2, DMA, 1344, 1344, 256, 344704, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 256, 442410, 42, f6156, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 54280, ,,,,,,,, 
 91, TIDL_ConvolutionLayer, 256, 40, 40, 256, 20, 20, 256, ROW_L, 42, 42, 246, 1682, 7, 28, 28,,,,,,,,, L2, DMA, 576, 576, 256, 148736, 0, 0, ,,,,,,,, MSMC, CPU, 448, 401, 256, 114688, 0, 1f6180, ,,,,,,,, L2, DMA, 2368, 2305, 128, 303104, 0, 24500, MSMC, DMA_ONCE, 2368, 2305, 256, 606208, 0, 67d900, 
 93, TIDL_ConcatLayer, 512, 20, 20, 512, 20, 20, 512,  COL, 0, 0, 420, 420, 2, 0, 2,,,,,,,,, L2, DMA, 588, 588, 512, 301056, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 512, 294934, 22, 1621ea, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 96, TIDL_ConvolutionLayer, 512, 20, 20, 256, 20, 20, 512, ROW_L, 0, 0, 256, 420, 2, 1, 2,,,,,,,,, L2, DMA, 576, 576, 512, 294912, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147478, 22, d20ea, ,,,,,,,, L2, DMA, 576, 513, 256, 147456, 0, 48000, ,,,,,,,, 
 100, TIDL_ConvolutionLayer, 256, 20, 20, 256, 20, 20, 256, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 256, 114688, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147478, 22, d20ea, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 1c000, ,,,,,,,, 
 104, TIDL_ConvolutionLayer, 256, 20, 20, 256, 20, 20, 256, ROW_L, 44, 64, 256, 463, 2, 8, 8,,,,,,,,, L2, DMA, 576, 576, 256, 147456, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147478, 22, 23e26a, ,,,,,,,, L2, DMA, 2368, 2305, 128, 303104, 0, 24000, MSMC, DMA_ONCE, 2368, 2305, 256, 606208, 0, 711900, 
 97, TIDL_ConvolutionLayer, 512, 20, 20, 256, 20, 20, 512, ROW_L, 0, 0, 256, 420, 2, 1, 2,,,,,,,,, L2, DMA, 576, 576, 512, 294912, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 256, 147478, 22, d20ea, ,,,,,,,, L2, DMA, 576, 513, 256, 147456, 0, 48000, ,,,,,,,, 
 106, TIDL_ConcatLayer, 512, 20, 20, 512, 20, 20, 512,  COL, 0, 0, 420, 420, 2, 0, 2,,,,,,,,, L2, DMA, 588, 588, 512, 301056, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 512, 294934, 22, 1621ea, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 107, TIDL_ConvolutionLayer, 512, 20, 20, 512, 20, 20, 512, ROW_L, 0, 0, 64, 420, 7, 1, 7,,,,,,,,, L2, DMA, 192, 192, 512, 98560, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 512, 294934, 22, 1aa26a, ,,,,,,,, L2, DMA, 576, 513, 512, 294912, 0, 18100, ,,,,,,,, 
 108, TIDL_ConvolutionLayer, 512, 20, 20, 128, 20, 20, 512, ROW_L, 0, 0, 320, 420, 2, 1, 2,,,,,,,,, L2, DMA, 704, 704, 512, 360448, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 128, 73750, 22, d20ea, ,,,,,,,, L2, DMA, 576, 513, 128, 73728, 0, 58000, ,,,,,,,, 
 109, TIDL_ConvolutionLayer, 128, 20, 20, 128, 20, 20, 128, ROW_L, 44, 64, 399, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 128, 73728, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 128, 73750, 22, 1621ea, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 12000, ,,,,,,,, 
 111, TIDL_ConvolutionLayer, 128, 20, 20, 128, 20, 20, 128, ROW_L, 44, 64, 399, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 128, 73728, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 128, 73750, 22, 1621ea, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 12000, ,,,,,,,, 
 113, TIDL_ConvolutionLayer, 128, 20, 20, 80, 20, 20, 128, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 128, 57344, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 80, 46102, 22, e416a, ,,,,,,,, L2, DMA, 192, 129, 80, 15360, 0, e000, ,,,,,,,, 
 110, TIDL_ConvolutionLayer, 128, 20, 20, 128, 20, 20, 128, ROW_L, 44, 64, 399, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 128, 73728, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 128, 73750, 22, d20ea, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 12000, ,,,,,,,, 
 112, TIDL_ConvolutionLayer, 128, 20, 20, 128, 20, 20, 128, ROW_L, 44, 64, 399, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 128, 73728, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 128, 73750, 22, d20ea, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 12000, ,,,,,,,, 
 114, TIDL_ConvolutionLayer, 128, 20, 20, 4, 20, 20, 128, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 128, 57344, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 4, 2326, 22, ef5ea, ,,,,,,,, L2, DMA, 192, 129, 4, 768, 0, e000, ,,,,,,,, 
 115, TIDL_ConvolutionLayer, 128, 20, 20, 1, 20, 20, 128, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 128, 57344, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 1, 662, 22, db9ea, ,,,,,,,, L2, DMA, 192, 129, 1, 256, 0, e000, ,,,,,,,, 
 116, TIDL_ConcatLayer, 85, 20, 20, 85, 20, 20, 85,  COL, 0, 0, 420, 420, 85, 0, 85,,,,,,,,, L2, DMA, 588, 588, 2, 1280, 0, 0, ,,,,,,,, MSMC, CPU, 448, 400, 85, 38144, 0, d2080, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 92, TIDL_ConvolutionLayer, 256, 40, 40, 128, 40, 40, 256, ROW_L, 0, 0, 768, 1640, 3, 1, 3,,,,,,,,, L2, DMA, 1600, 1600, 256, 410368, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, dbed6, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 64300, ,,,,,,,, 
 94, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 84, 128, 1024, 1723, 2, 1, 2,,,,,,,,, L2, DMA, 2240, 2240, 128, 286720, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, 111f56, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 46000, ,,,,,,,, 
 98, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 84, 128, 1024, 1723, 2, 1, 2,,,,,,,,, L2, DMA, 2240, 2240, 128, 286720, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, 111f56, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 46000, ,,,,,,,, 
 101, TIDL_ConvolutionLayer, 128, 40, 40, 80, 40, 40, 128, ROW_L, 0, 0, 1640, 1640, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 128, 221184, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 80, 138282, 42, 111f56, ,,,,,,,, L2, DMA, 192, 129, 80, 15360, 0, 36000, ,,,,,,,, 
 95, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 84, 128, 1024, 1723, 2, 1, 2,,,,,,,,, L2, DMA, 2240, 2240, 128, 286720, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, 133bd6, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 46000, ,,,,,,,, 
 99, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 84, 128, 1024, 1723, 2, 1, 2,,,,,,,,, L2, DMA, 2240, 2240, 128, 286720, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 128, 221226, 42, db5d6, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 46000, ,,,,,,,, 
 102, TIDL_ConvolutionLayer, 128, 40, 40, 4, 40, 40, 128, ROW_L, 0, 0, 1640, 1640, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 128, 221184, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 4, 6954, 42, 133bd6, ,,,,,,,, L2, DMA, 192, 129, 4, 768, 0, 36000, ,,,,,,,, 
 103, TIDL_ConvolutionLayer, 128, 40, 40, 1, 40, 40, 128, ROW_L, 0, 0, 1640, 1640, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 128, 221184, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 1, 1834, 42, fd1d6, ,,,,,,,, L2, DMA, 192, 129, 1, 256, 0, 36000, MSMC, DMA_ONCE, 192, 129, 1, 256, 0, 7b9f00, 
 105, TIDL_ConcatLayer, 85, 40, 40, 85, 40, 40, 85,  COL, 0, 0, 1640, 1640, 85, 0, 85,,,,,,,,, L2, DMA, 1763, 1763, 2, 3584, 0, 0, ,,,,,,,, MSMC, CPU, 1600, 1600, 85, 136064, 0, db580, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 75, TIDL_ConvolutionLayer, 128, 80, 80, 128, 80, 80, 128, ROW_L, 0, 0, 1600, 6480, 5, 1, 5,,,,,,,,, L2, DMA, 3264, 3264, 128, 422528, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860242, 82, 2e, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 67280, ,,,,,,,, 
 77, TIDL_ConvolutionLayer, 128, 80, 80, 128, 80, 80, 128, ROW_L, 164, 192, 1024, 6643, 7, 1, 7,,,,,,,,, L2, DMA, 2240, 2240, 128, 291840, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860242, 82, fc92e, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 47400, ,,,,,,,, 
 81, TIDL_ConvolutionLayer, 128, 80, 80, 128, 80, 80, 128, ROW_L, 164, 192, 1024, 6643, 7, 1, 7,,,,,,,,, L2, DMA, 2240, 2240, 128, 291840, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860242, 82, fc92e, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 47400, ,,,,,,,, 
 84, TIDL_ConvolutionLayer, 128, 80, 80, 80, 80, 80, 128, ROW_L, 0, 0, 1664, 6480, 4, 1, 4,,,,,,,,, L2, DMA, 3392, 3392, 128, 437504, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 80, 537682, 82, fc92e, ,,,,,,,, L2, DMA, 192, 129, 80, 15360, 0, 6ad00, ,,,,,,,, 
 78, TIDL_ConvolutionLayer, 128, 80, 80, 128, 80, 80, 128, ROW_L, 164, 192, 1024, 6643, 7, 1, 7,,,,,,,,, L2, DMA, 2240, 2240, 128, 291840, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860242, 82, 2e, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 47400, ,,,,,,,, 
 82, TIDL_ConvolutionLayer, 128, 80, 80, 128, 80, 80, 128, ROW_L, 164, 192, 1024, 6643, 7, 1, 7,,,,,,,,, L2, DMA, 2240, 2240, 128, 291840, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860242, 82, 2e, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 47400, ,,,,,,,, 
 85, TIDL_ConvolutionLayer, 128, 80, 80, 4, 80, 80, 128, ROW_L, 0, 0, 1728, 6480, 4, 1, 4,,,,,,,,, L2, DMA, 3520, 3520, 128, 454016, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 4, 26962, 82, 17fdae, ,,,,,,,, L2, DMA, 192, 129, 4, 768, 0, 6ed80, ,,,,,,,, 
 86, TIDL_ConvolutionLayer, 128, 80, 80, 1, 80, 80, 128, ROW_L, 0, 0, 1728, 6480, 4, 1, 4,,,,,,,,, L2, DMA, 3520, 3520, 128, 454016, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 1, 6866, 82, 2e, ,,,,,,,, L2, DMA, 192, 129, 1, 256, 0, 6ed80, ,,,,,,,, 
 88, TIDL_ConcatLayer, 85, 80, 80, 85, 80, 80, 85,  COL, 0, 0, 6480, 6480, 85, 0, 85,,,,,,,,, L2, DMA, 6723, 6723, 2, 13568, 0, 0, ,,,,,,,, MSMC, CPU, 6464, 6400, 85, 549504, 0, 1b00, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 117, TIDL_DetectionOutputLayer, 85, 80, 80, 1, 1405, 1, 85,  COL, 0, 0, 6400, 6400, 5, 0, 5,,,,,,,,, L2, DMA, 6480, 6480, 34, 220416, 0, 0, L2, CPU, 0, 1405, 34, 0, 0, 0, MSMC, CPU, 5696, 5620, 1, 5760, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 118, TIDL_OdOutputReformatLayer, 1, 1405, 1, 1, 5, 200, 1,  COL, 0, 0, 1405, 1405, 1, 0, 1,,,,,,,,, L2, DMA, 1405, 1405, 1, 1408, 0, 0, MSMC, CPU, 1000, 1000, 2, 2048, 0, 1680, DDR, DMA, 4000, 4000, 1, 5120, 0, 12c400, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 120, TIDL_DataLayer, 1, 5, 200, 0, 0, 0, 1, FRAME, 0, 0, 1000, 1000, 1, 0, 1,,,,,,,,, L2, DMA, 0, 1000, 1, 0, 0, 0, ,,,,,,,, DDR, CPU, 409600, 0, 0, 1229824, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 119, TIDL_OdOutputReformatLayer, 1, 1405, 1, 1, 200, 1, 1,  COL, 0, 0, 1405, 1405, 1, 0, 1,,,,,,,,, L2, DMA, 1405, 1405, 1, 1408, 0, 0, MSMC, CPU, 200, 200, 2, 512, 0, 1680, DDR, DMA, 800, 800, 1, 1920, 0, 12d800, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 121, TIDL_DataLayer, 1, 200, 1, 0, 0, 0, 1, FRAME, 0, 0, 200, 200, 1, 0, 1,,,,,,,,, L2, DMA, 0, 200, 1, 0, 0, 0, ,,,,,,,, DDR, CPU, 409600, 0, 0, 1229824, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
